"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"¡Atención Barranquilla! Aprovecha esta oportunidad.
Buscamos: Técnico de Instalación.
Requisitos: Bachiller. | Expe… https://t.co/kRbgrr65ll",FALSE,0,NA,2019-08-06 16:16:17,TRUE,NA,"1158773800584065025",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Extras_Col",0,FALSE,FALSE,NA,NA
"RT @Brandty_Es: It´s Brandty Time!! ¿Te apasiona el mundo de las ventas? Una importante empresa del sector de las telecomunicaciones necesi…",FALSE,0,NA,2019-08-06 11:58:32,FALSE,NA,"1158708933890072576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alf_minarro",2,TRUE,FALSE,NA,NA
"RT @Brandty_Es: It´s Brandty Time!! ¿Te apasiona el mundo de las ventas? Una importante empresa del sector de las telecomunicaciones necesi…",FALSE,0,NA,2019-08-06 11:51:49,FALSE,NA,"1158707245049360386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kontyky71",2,TRUE,FALSE,NA,NA
"It´s Brandty Time!! ¿Te apasiona el mundo de las ventas? Una importante empresa del sector de las telecomunicacione… https://t.co/2mN0zG2ob7",FALSE,1,NA,2019-08-06 11:50:05,TRUE,NA,"1158706809399590912",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Brandty_Es",2,FALSE,FALSE,NA,NA
"PERSONAL DE ALMACÉN ESPECIALIZADO EN TELECOMUNICACIONES
Todos los detalles aquí <U+0001F449> https://t.co/XAEWOsAkeT
También e… https://t.co/VmSLg1ZElr",FALSE,0,NA,2019-08-06 11:33:53,TRUE,NA,"1158702731340779522",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EmpleosenEsp",0,FALSE,FALSE,NA,NA
"Ingeniero/a Telecomunicaciones Junior
Todos los detalles aquí <U+0001F449> https://t.co/UxJRlUoQNN
También estamos en… https://t.co/du00yBRul0",FALSE,0,NA,2019-08-06 11:33:51,TRUE,NA,"1158702724613136384",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EmpleosenEsp",0,FALSE,FALSE,NA,NA
"<U+203C>Últimas noticias del sector de #telecomunicaciones <U+0001F449><U+0001F3FB> Todos los países del mundo se están lanzando a licitar espe.… https://t.co/LX7qyAs35i",FALSE,0,NA,2019-08-06 11:30:55,TRUE,NA,"1158701984356212736",NA,"<a href=""https://metricool.com"" rel=""nofollow"">Metricool</a>","ugtcom",0,FALSE,FALSE,NA,NA
"OFERTA EMPLEO. Técnico de sistemas y telecomunicaciones - https://t.co/0i9YS1XmQq",FALSE,0,NA,2019-08-06 08:15:25,FALSE,NA,"1158652787070255104",NA,"<a href=""http://www.mailchimp.com"" rel=""nofollow"">Mailchimp</a>","Fund_OrbeZero",0,FALSE,FALSE,NA,NA
"Supervisor de Construcción - Tegucigalpa

Oportunidad de Empleo

Tegucigalpa

Puesto: Supervisor de Construcción … https://t.co/N6RybnrvPA",FALSE,0,NA,2019-08-05 19:34:47,TRUE,NA,"1158461365218086912",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","HondurasenLinea",0,FALSE,FALSE,NA,NA
"Consigue tu primer #empleo en Capital Markets en @AccentureSpain <U+0001F64C> Si eres de #Madrid y graduado en Ingeniería Info… https://t.co/0Kq7FbyguX",FALSE,1,NA,2019-08-05 16:02:04,TRUE,NA,"1158407834964504582",NA,"<a href=""https://metricool.com"" rel=""nofollow"">Metricool</a>","dadacareer",0,FALSE,FALSE,NA,NA
